Date,BPR:1,"BPR:1,1,1","BPR:10,10,3",BPR:300,FGOR,FOPR,WBHP:INJ,WBHP:PROD,WGIR:INJ,WGIR:PROD,WGIT:INJ,WGIT:PROD,WGOR:PROD,WGPR:INJ,WGPR:PROD,WGPT:INJ,WGPT:PROD,WOIR:INJ,WOIR:PROD,WOIT:INJ,WOIT:PROD,WOPR:INJ,WOPR:PROD,WOPT:INJ,WOPT:PROD,WWIR:INJ,WWIR:PROD,WWIT:INJ,WWIT:PROD,WWPR:INJ,WWPR:PROD,WWPT:INJ,WWPT:PROD
2015-01-01,4782.2998046875,4782.2998046875,4800.0,4800.0,-0.0,20000.0,4830.12255859375,4752.0,100000.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
2015-01-11,5669.1982421875,5669.1982421875,4172.2353515625,4172.2353515625,1.2700001001358032,20000.0,7618.53857421875,2529.31884765625,100000.0,0.0,1023000.0,0.0,1.2700001001358032,-0.0,25400.001953125,-0.0,259842.015625,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,204600.0,0.0,0.0,0.0,0.0,-0.0,1.9218736269976944e-05,-0.0,0.00019660766702145338
2015-02-01,5957.962890625,5957.962890625,3944.841796875,3944.841796875,1.2462484836578369,20000.0,6980.16455078125,2304.682373046875,100000.0,0.0,3100000.0,0.0,1.2462484836578369,-0.0,24924.96875,-0.0,777533.625,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,620000.0,0.0,0.0,0.0,0.0,-0.0,2.6135443476960063e-05,-0.0,0.00073944084579125047
2015-03-01,6024.0673828125,6024.0673828125,3875.201904296875,3875.201904296875,1.2346609830856323,20000.0,6635.53857421875,2222.569580078125,100000.0,0.0,5900000.0,0.0,1.2346609830856323,-0.0,24693.21875,-0.0,1468943.75,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,1180000.0,0.0,0.0,0.0,0.0,-0.0,2.8478583772084676e-05,-0.0,0.0015368411550298333
2015-04-01,6024.68359375,6024.68359375,3869.64013671875,3869.64013671875,1.2353167533874512,20000.0,6507.29248046875,2215.9990234375,100000.0,0.0,9000000.0,0.0,1.2353167533874512,-0.0,24706.333984375,-0.0,2234840.25,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,1800000.0,0.0,0.0,0.0,0.0,-0.0,2.8667336664511822e-05,-0.0,0.002425528597086668
2015-05-01,6018.60546875,6018.60546875,3905.220947265625,3905.220947265625,1.2323900461196899,20000.0,6435.44482421875,2257.837646484375,100000.0,0.0,12000000.0,0.0,1.2323900461196899,-0.0,24647.80078125,-0.0,2974274.25,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,2400000.0,0.0,0.0,0.0,0.0,-0.0,2.746674363152124e-05,-0.0,0.0032495309133082628
2015-06-01,6027.13916015625,6027.13916015625,3955.99658203125,3955.99658203125,1.2500408887863159,20000.0,6390.38037109375,2316.451171875,100000.0,0.0,15100000.0,0.0,1.2500408887863159,-0.0,25000.818359375,-0.0,3749299.5,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,3020000.0,0.0,0.0,0.0,0.0,-0.0,2.5784975150600076e-05,-0.0,0.0040488652884960175
2015-07-01,6043.3359375,6043.3359375,4011.88037109375,4011.88037109375,1.2690412998199463,20000.0,6374.43505859375,2380.87744140625,100000.0,0.0,18100000.0,0.0,1.2690412998199463,-0.0,25380.826171875,-0.0,4510724.5,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,3620000.0,0.0,0.0,0.0,0.0,-0.0,2.3952372430358082e-05,-0.0,0.0047674365341663361
2015-08-01,6062.38134765625,6062.38134765625,4078.364501953125,4078.364501953125,1.2799500226974487,20000.0,6371.13330078125,2449.069091796875,100000.0,0.0,21200000.0,0.0,1.2799500226974487,-0.0,25599.0,-0.0,5304293.5,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,4240000.0,0.0,0.0,0.0,0.0,-0.0,2.1908997950959019e-05,-0.0,0.0054466156288981438
2015-09-01,6089.84716796875,6089.84716796875,4153.62939453125,4153.62939453125,1.2794911861419678,20000.0,6387.32861328125,2517.6220703125,100000.0,0.0,24300000.0,0.0,1.2794911861419678,-0.0,25589.822265625,-0.0,6097578.0,0.0,0.0,0.0,0.0,-0.0,20000.0,-0.0,4860000.0,0.0,0.0,0.0,0.0,-0.0,1.9704939404618926e-05,-0.0,0.0060574687086045742
